gisaid_epi_isl,strain,date,host
EPI_ISL_738809,USA/CA-CZB-14857/2020,2020-11-23,Human
EPI_ISL_683261,mink/Denmark/mDK-519/2020,2020-10-20,Mink
EPI_ISL_2882683,USA/CA-CDPH-3000010822/2021,2021-02-06,Human
EPI_ISL_925332,mink/USA/MI-CDC-3886841-001/2020,2020-10-16,Mink
EPI_ISL_578799,USA/LA-EVTL393/2020,2020-06-03,Human
EPI_ISL_3647714,Turkey/HSGM-D15603/2021,2021-08-19,Human
EPI_ISL_4126652,India/MH-IGIB-IP00852/2021,2021-01-03,Human
EPI_ISL_2712642,Mexico/BCN-SEARCH-102575/2020,2020-04-09,Human
EPI_ISL_1624412,USA/NY-Wadsworth-21036565-01/2021,2021-03-22,Human
EPI_ISL_8716578,Poland/PZH-GUM-5232/2021,2021-12-28,Human
EPI_ISL_2776189,DominicanRepublic/Yale-5507/2021,2021-01-14,Human
EPI_ISL_2233755,Greece/1542/2020,2020-11-11,Human
EPI_ISL_473446,England/BIRM-61243/2020,2020-06-06,Human
EPI_ISL_1268591,USA/TX-CDC-STM-000019464/2021,2021-02-14,Human
EPI_ISL_955518,USA/CA-CZB-17345/2020,2020-11-29,Human
EPI_ISL_5923125,Italy/CAM-TIGEM-IZSM-COLLI-20718/2021,2021-10-08,Human
EPI_ISL_4109532,India/HR-HR034/2020,2020,Human
EPI_ISL_1087262,USA/IL-CDC-QDX21433969/2021,2021-01-25,Human
EPI_ISL_660474,BurkinaFaso/583/2020,2020-06-21,Human
EPI_ISL_447633,mink/Netherlands/NB03_index/2020,2020-05-06,Mink
EPI_ISL_5990322,USA/IN-PU-lh000082246/2021,2021-01-26,Human
EPI_ISL_560933,USA/TX-DSHS-0489/2020,2020-06-21,Human
EPI_ISL_2779499,Kenya/MAL-5038/2020,2020-06-09,Human
EPI_ISL_2826179,USA/CA-CDPH-2000033603/2021,2021-01-27,Human
EPI_ISL_976702,Canada/BC-BCCDC-9794/2020,2020-12-22,Human
EPI_ISL_679977,England/PORT-2E9F95/2020,2020,Human
EPI_ISL_1562628,USA/NJ-CDC-ASC210006310/2021,2021-03-12,Human
EPI_ISL_3032940,Turkey/HSGM-B4577/2021,2021-03-31,Human
EPI_ISL_1803222,USA/MN-CDC-IBX045818918354/2021,2021-04-07,Human
EPI_ISL_3033019,Turkey/HSGM-GK18/2021,2021-07-08,Human
EPI_ISL_683289,mink/Denmark/mDK-551/2020,2020-10-19,Mink
EPI_ISL_577818,mink/Netherlands/NB-EMC-50-2/2020,2020-09-11,Mink
EPI_ISL_1403667,USA/MN-MDH-4311/2021,2021-03-15,Human
EPI_ISL_641511,mink/Denmark/mDK-132/2020,2020-08-13,Mink
EPI_ISL_904329,mink/Netherlands/NB-EMC-52-10/2020,2020,Mink
EPI_ISL_497055,USA/WA-S2423/2020,2020-06-15,Human
EPI_ISL_4890576,USA/CO-CDPHE-2010132029/2020,2020-10-08,Human
EPI_ISL_1228018,USA/NY-Wadsworth-21022586-01/2021,2021-02-16,Human
EPI_ISL_3032788,Turkey/HSGM-B16896/2021,2021-06-15,Human
EPI_ISL_555719,England/ALDP-94DD61/2020,2020-06-20,Human
EPI_ISL_2479299,Canada/AB-ABPHL-16398/2021,2021-05-02,Human
EPI_ISL_462940,USA/WY-WYPHL-00048/2020,2020-03-25,Human
EPI_ISL_2710275,SouthAfrica/KRISP-K018665/2021,2021-06-17,Human
EPI_ISL_8718625,Poland/WSSEGDA-76/2022,2022-01-09,Human
EPI_ISL_5087118,USA/TX-HMH-MCoV-46382/2020,2020-07-23,Human
EPI_ISL_582771,Sweden/20-08985/2020,2020-09-16,Human
EPI_ISL_983490,USA/NY-Wadsworth-21015747-01/2021,2021-01-21,Human
EPI_ISL_1253090,USA/TX-CDC-QDX22289159/2021,2021-02-21,Human
EPI_ISL_2047396,USA/MN-CDC-IBX431103820818/2021,2021-04-08,Human
EPI_ISL_585396,Scotland/CVR4536/2020,2020-09-22,Human
EPI_ISL_722486,Netherlands/un-EMC-802/2020,2020,Human
EPI_ISL_436672,USA/CA-CZB-1031/2020,2020-03-29,Human
EPI_ISL_1362866,USA/MO-MSPHL-000320/2020,2020-11-09,Human
EPI_ISL_1159335,USA/FL-CDC-QDX22118397/2021,2021-02-17,Human
EPI_ISL_641425,mink/Denmark/mDK-32/2020,2020-09-25,Mink
EPI_ISL_452486,Spain/NC-IBV-001415/2020,2020-03-21,Human
EPI_ISL_1120129,USA/KS-KHEL-0315/2020,2020-07-22,Human
EPI_ISL_634918,USA/UT-UPHL-201129136/2020,2020-04-29,Human
EPI_ISL_461121,Netherlands/NA_686/2020,2020-04-08,Human
EPI_ISL_641465,mink/Denmark/mDK-73/2020,2020-09-24,Mink
EPI_ISL_467906,USA/TX-QDX-25/2020,2020-03-15,Human
EPI_ISL_2382487,USA/OH-21AM-070CO00625/2021,2021-03-11,Human
EPI_ISL_889615,USA/LA-EVTL1635/2021,2021-01-05,Human
EPI_ISL_979750,USA/CA-CZB-19156/2020,2020-12-06,Human
EPI_ISL_785983,USA/TX-HMH-MCoV-16299/2020,2020-10-30,Human
EPI_ISL_1382984,Spain/NC-CHN-01000297/2020,2020-03-25,Human
EPI_ISL_955530,USA/CA-CZB-17359/2020,2020-11-30,Human
EPI_ISL_1271310,Canada/ON-PHL-20-02177/2020,2020-07,Human
EPI_ISL_2990279,USA/FL-Shands-VTM-1053/2021,2021-01,Human
EPI_ISL_610012,USA/TX-DSHS-0876/2020,2020-06-16,Human
EPI_ISL_902861,Finland/30J1DE4_S127/2020,2020-12-30,Human
EPI_ISL_8633100,France/IDF-HMN-22012051067/2022,2022-01-05,Human
EPI_ISL_2270629,USA/MI-CDC-STM-000070802/2021,2021-05-06,Human
EPI_ISL_5930490,USA/CO-CDPHE-2009184159/2020,2020-09-18,Human
EPI_ISL_8017835,USA/CA-ASU29105/2021,2021-01-13,Human
EPI_ISL_611413,England/QEUH-A9F619/2020,2020-10-20,Human
EPI_ISL_2812160,USA/MN-UMGC-513/2021,2021-03-13,Human
EPI_ISL_1674740,USA/FL-BPHL-1425/2021,2021-02-23,Human
EPI_ISL_1909688,USA/AZ-TG841323/2020,2020-11-05,Human
EPI_ISL_889705,USA/LA-EVTL1727/2021,2021-01-12,Human
EPI_ISL_2712687,Mexico/BCN-SEARCH-102621/2020,2020-04-15,Human
EPI_ISL_683034,mink/Denmark/mDK-183/2020,2020-11-04,Mink
EPI_ISL_477662,USA/VA-DCLS-0449/2020,2020-05-04,Human
EPI_ISL_1516226,USA/WY-CDC-2-4084903/2021,2021-01-16,Human
EPI_ISL_8035582,Netherlands/GR-UMCG-MMB_3859/2021,2021-12-16,Human
EPI_ISL_6267209,USA/CA-CDPH-2000022688/2021,2021-01-05,Human
EPI_ISL_857000,USA/CA-CZB-9973/2020,2020-06-17,Human
EPI_ISL_536400,cat/England/CVR-Cat2/2020,2020-05-02,Felis catus
EPI_ISL_3152723,otter/USA/GA-21-011485-011/2021,2021-04-16,Aonyx cinereus
EPI_ISL_694319,USA/AZ-TG311191/2020,2020-05-14,Human
EPI_ISL_683103,mink/Denmark/mDK-250/2020,2020-11-06,Mink
EPI_ISL_3946506,Sweden/01_SE100_21CS508530/2020,2020-04-10,Human
EPI_ISL_1503974,USA/GA-EHC-580J/2020,2020-12-30,Human
EPI_ISL_1361866,Germany/ST-MD1536/2021,2021-03-15,Human
EPI_ISL_2936549,Turkey/HSGM-B13963/2021,2021-05-25,Human
EPI_ISL_5636210,France/PAC-IHU-36965_Nova1/2020,2020-04,Human
EPI_ISL_2976254,USA/ID-IBL-612852/2020,2020-03-26,Human
EPI_ISL_1133057,USA/MI-UM-10037055648/2020,2020-11-20,Human
EPI_ISL_578934,USA/LA-EVTL530/2020,2020-08-04,Human
EPI_ISL_5320786,tiger/USA/NE-NCOV21-37809/2021,2021-10-11,Panthera tigris
EPI_ISL_8658170,Denmark/DCGC-309652/2022,2022-01-07,Human
EPI_ISL_1314818,USA/VA-CDC-QDX22762113/2021,2021-03-07,Human
EPI_ISL_2408286,Qatar/QA.QU_18.13.F7/2021,2021-04-21,Human
EPI_ISL_936805,USA/MI-NM-5194/2020,2020-12-26,Human
EPI_ISL_2620707,Italy/LOM-Policlinico_Milano_87688527/2021,2021-05-02,Human
EPI_ISL_8716225,Peru/LIM-INS-11255/2021,2021-12-13,Human
EPI_ISL_6425280,deer/USA/IA-200567/2020,2020-12-05,Odocoileus virginianus
EPI_ISL_7713561,Canada/QC-L00347314001A/2021,2021-04-15,Human
EPI_ISL_981112,USA/MD-HP02013/2021,2021-02-02,Human
EPI_ISL_635381,USA/CA-ALSR-2190/2020,2020-06-12,Human
EPI_ISL_1526796,USA/WA-UW-5500930/2020,2020-04-15,Human
EPI_ISL_1167252,USA/WA-UW-59031/2021,2021-02-01,Human
EPI_ISL_1763181,Israel/CVL-6620/2021,2021-02-17,Human
EPI_ISL_618853,Denmark/DCGC-7868/2020,2020-10-26,Human
EPI_ISL_1854415,Portugal/PT6567/2021,2021-04-12,Human
EPI_ISL_1088243,USA/MO-CDC-QDX21753712/2021,2021-02-06,Human
EPI_ISL_579148,NewZealand/20VR1848/2020,2020-03-26,Human
EPI_ISL_447627,mink/Netherlands/NB02_03KS/2020,2020-04-29,Mink
EPI_ISL_1787103,USA/MA-CDCBI-CRSP_QV3LEK432EVBIGTW/2021,2021-04-17,Human
EPI_ISL_904333,mink/Netherlands/NB-EMC-52-14/2020,2020,Mink
EPI_ISL_955545,USA/CA-CZB-17376/2020,2020-12-01,Human
EPI_ISL_4520272,Peru/LIM-INS-5304/2021,2021-08-18,Human
EPI_ISL_4275042,Spain/VC-IBV-99035067/2020,2020-03-17,Human
EPI_ISL_967391,USA/FL-CDC-STM-000003019/2021,2021-01-17,Human
EPI_ISL_523090,mink/Netherlands/NB-EMC-2-8/2020,2020-04-27,Mink
EPI_ISL_439795,England/LIVE-99AC2/2020,2020-04-13,Human
EPI_ISL_5937177,lion/USA/HI-21-031374-002/2021,2021-10-11,Panthera leo
EPI_ISL_1905385,USA/MI-MDHHS-SC26240/2020,2020-03-31,Human
EPI_ISL_3416069,Turkey/HSGM-FS6660/2021,2021-08-08,Human
EPI_ISL_2930557,cat/USA/TX-TAMU-562-21-012714-001/2021,2021-04-15,Felis catus
EPI_ISL_493333,Italy/CAM-INMI-32803-66/2020,2020-03-28,Human
EPI_ISL_2611008,Switzerland/LU-UHB-42555800/2020,2020-11-24,Human
EPI_ISL_4029269,Guatemala/2574/2021,2021-06-29,Human
EPI_ISL_424174,USA/CT-UW-1365/2020,2020-03-13,Human
EPI_ISL_1094069,USA/CA-UCSF-JD389/2021,2021-01-15,Human
EPI_ISL_3065954,HongKong/CUHK-NC0530/2020,2020-03-06,Human
EPI_ISL_456432,Australia/VIC1399/2020,2020-04-15,Human
EPI_ISL_2712601,USA/CA-SEARCH-102528/2021,2021-01-15,Human
EPI_ISL_523063,mink/Netherlands/NB-EMC-21-1/2020,2020-07-09,Mink
EPI_ISL_1229177,Australia/SA0633/2020,2020-03-08,Human
EPI_ISL_1477460,USA/CA-CZB-27390/2021,2021-01-17,Human
EPI_ISL_4632273,Chile/LR-145813/2021,2021-08-26,Human
EPI_ISL_3105183,USA/CA-CDPH-2000024962/2021,2021-01-10,Human
EPI_ISL_7845316,dog/USA/WA-DDL21-11754-4/2021,2021-07-29,Canis lupus familiaris
EPI_ISL_1541303,USA/OR-OHSU-9999/2021,2021-01-19,Human
EPI_ISL_1856218,USA/VA-CAV_VAS3N_00000300_01/2021,2021-02,Human
EPI_ISL_1340390,USA/IN-CDC-STM-000028548/2021,2021-03-03,Human
EPI_ISL_7857167,USA/CA-CDPH-2000012182/2020,2020-12-14,Human
EPI_ISL_614562,Denmark/DCGC-981/2020,2020-03-09,Human
EPI_ISL_1494438,USA/IL-IDPH-SAN-S-0001745/2020,2020-08-12,Human
EPI_ISL_6425279,deer/USA/IA-205769/2020,2020-12-08,Odocoileus virginianus
EPI_ISL_1463197,USA/NH-CDC-LC0031317/2021,2021-03-15,Human
EPI_ISL_1752203,Germany/BY-MVP-000001980/2021,2021-01-15,Human
EPI_ISL_1905583,USA/MI-MDHHS-SC26457/2020,2020-04-06,Human
EPI_ISL_2243275,USA/MI-CDC-ASC210000801/2021,2021-03-03,Human
EPI_ISL_3611968,Turkey/HSGM-D17693/2021,2021-08-19,Human
EPI_ISL_888912,USA/WY-WPHL-21006830/2021,2021-01-18,Human
EPI_ISL_2969499,USA/CA-CDPH-2000021372/2021,2021-01-03,Human
EPI_ISL_683152,mink/Denmark/mDK-303/2020,2020-11-10,Mink
EPI_ISL_456588,Australia/VIC1703/2020,2020-03-09,Human
EPI_ISL_640229,Germany/BW-MVZ-LS-11/2020,2020-04-15,Human
EPI_ISL_1446173,USA/MN-CDC-ASC210003571/2021,2021-03-10,Human
EPI_ISL_430714,Australia/VIC1313/2020,2020-04-10,Human
EPI_ISL_529827,USA/MI-MDHHS-SC21708/2020,2020-06-19,Human
EPI_ISL_8798746,Australia/NSW-RPAH-2256/2022,2022-01-16,Human
EPI_ISL_1239429,Finland/24MS1A6/2020,2020-03-24,Human
EPI_ISL_1241158,Canada/QC-JUS-V5291064/2020,2020-03-27,Human
EPI_ISL_978706,USA/AZ-CDC-STM-000008010/2021,2021-01-08,Human
EPI_ISL_2363665,Turkey/HSGM-B11984/2021,2021-05-05,Human
EPI_ISL_641467,mink/Denmark/mDK-75/2020,2020-09-24,Mink
EPI_ISL_2443260,India/TN-ICMR-CDH032/2021,2021,Human
EPI_ISL_1462955,USA/TN-CDC-LC0030360/2021,2021-03-18,Human
EPI_ISL_5439633,USA/CO-CDPHE-2004140053/2020,2020-04-13,Human
EPI_ISL_967812,USA/FL-CDC-STM-000003195/2021,2021-01-17,Human
EPI_ISL_1254153,USA/NY-CDC-QDX22446388/2021,2021-02-24,Human
EPI_ISL_430697,Australia/VIC1344/2020,2020-04-14,Human
EPI_ISL_3730975,Italy/TAA-APSS-Ph2_RUN2_NB07/2020,2020-04-03,Human
EPI_ISL_5440490,USA/CO-CDPHE-2006301550/2020,2020-06-29,Human
EPI_ISL_1495525,Austria/CeMM5502/2021,2021-03-09,Human
EPI_ISL_6257968,tiger/USA/CA-SEARCH-113034/2021,2021-10-21,Panthera tigris
EPI_ISL_683136,mink/Denmark/mDK-286/2020,2020-11-10,Mink
EPI_ISL_5442514,USA/CA-CDPH-2000015543/2020,2020-12-15,Human
EPI_ISL_1398260,USA/NY-Wadsworth-21019990-01/2021,2021-02-04,Human
EPI_ISL_2712804,USA/CA-SEARCH-102742/2020,2020-12-08,Human
EPI_ISL_8591253,USA/ME-HETL-J11050/2020,2020-12-21,Human
EPI_ISL_1202383,USA/TX-HMH-MCoV-16673/2020,2020-11-04,Human
EPI_ISL_511770,Portugal/PT1227/2020,2020-03-25,Human
EPI_ISL_1516875,Botswana/R8B64_BHP_AAB25651/2021,2021-03-18,Human
EPI_ISL_1662740,USA/WI-CDC-4065253-001/2021,2021-02-11,Human
EPI_ISL_546593,USA/TX-HMH-720/2020,2020-04-08,Human
EPI_ISL_2161059,SouthKorea/KDCA3547/2020,2020-07-15,Human
EPI_ISL_3315268,Turkey/HSGM-GF12627/2021,2021-07-29,Human
EPI_ISL_1158058,USA/MI-MDHHS-SC24024/2021,2021-02-05,Human
EPI_ISL_4109792,India/MH-IGIB-Q9873865/2021,2021,Human
EPI_ISL_2140188,SouthAfrica/9417/2020,2020,Human
EPI_ISL_1514490,USA/MI-CDC-LC0033412/2021,2021-03-18,Human
EPI_ISL_583581,Austria/CeMM0492/2020,2020-03-26,Human
EPI_ISL_7217368,India/KL-GENESCOV01429/2021,2021-01-22,Human
EPI_ISL_1674771,USA/FL-BPHL-1456/2021,2021-02-26,Human
EPI_ISL_466752,Canada/BC_03489456/2020,2020-04,Human
EPI_ISL_8241317,England/PHEC-3W0A0WB8/2021,2021,Human
EPI_ISL_3657225,USA/FL-Shands-VTM-1996/2020,2020-11,Human
EPI_ISL_801945,USA/NY-MSHSPSP-PV12398/2020,2020-05-03,Human
EPI_ISL_1283607,USA/PA-CDC-STM-000026504/2021,2021-02-27,Human
EPI_ISL_523614,Netherlands/ZH-EMC-272/2020,2020-05-08,Human
EPI_ISL_1136649,USA/NV-NSPHL-327797/2021,2021-01-19,Human
EPI_ISL_1385800,Pakistan/NIH-76/2020,2020-07-07,Human
EPI_ISL_2990049,USA/FL-Shands-VTM-693/2021,2021-01,Human
EPI_ISL_4701031,France/PAC-IHU--33546_Nova1/2020,2020-03,Human
EPI_ISL_2416906,Sweden/101561279/2021,2021-05-18,Human
EPI_ISL_1687565,USA/WV-CDC-ASC210028423/2021,2021-03-30,Human
EPI_ISL_925326,mink/USA/MI-CDC-3886854-001/2020,2020-10-16,Mink
EPI_ISL_1459892,USA/CA-CDC-FG-012316/2021,2021-03-08,Human
EPI_ISL_6565567,USA/FL-BPHL-14681/2021,2021-01-22,Human
EPI_ISL_954857,USA/CO-CDPHE-H013116181/2021,2021-01-07,Human
EPI_ISL_1014962,mink/USA/WI-CDC-3892584-001/2020,2020-10-13,Mink
EPI_ISL_5365678,USA/NY-NYGC-3915-VTM3-FRAA918/2021,2021-09-21,Human
EPI_ISL_2600478,USA/AZ-TG920883/2020,2020-10-30,Human
EPI_ISL_8889524,Malawi/COM-SEQ6360/2020,2020-06-12,Human
EPI_ISL_465526,England/20189026604/2020,2020-04-27,Human
EPI_ISL_1096987,Greece/A1/2020,2020,Human
EPI_ISL_1660805,Canada/ON-PHL-20-00094/2020,2020-04,Human
EPI_ISL_770841,Canada/ON-S1489/2020,2020-08,Human
EPI_ISL_1307073,USA/NY-PRL-2021_03_11_00B06/2021,2021-03-09,Human
EPI_ISL_2834565,Belgium/rega-8368/2021,2021-04-28,Human
EPI_ISL_1170871,Canada/ON-PHL-21-01719/2021,2021-01,Human
EPI_ISL_738647,USA/CA-CZB-14848/2020,2020-11-20,Human
EPI_ISL_3376849,tiger/Sweden/SVA210113SZ0259-KN007616/2021,2021-01-12,Panthera tigris
EPI_ISL_464376,England/201060040/2020,2020-03-04,Human
EPI_ISL_468059,Egypt/CUNCI-HGC011/2020,2020-05-02,Human
EPI_ISL_1482699,USA/SC-MUSC-0317/2021,2021-01-27,Human
EPI_ISL_2403414,Turkey/HSGM-B2311/2021,2021-03-30,Human
EPI_ISL_955727,USA/CA-CZB-19340/2020,2020-12-29,Human
EPI_ISL_979758,USA/CA-CZB-19164/2020,2020-12-07,Human
EPI_ISL_2821752,Canada/QC-1nIOU-A5153225/2021,2021-01-15,Human
EPI_ISL_530778,NorthernIreland/QEUH-96CBF9/2020,2020-08-21,Human
EPI_ISL_461266,Netherlands/Zeeland_28/2020,2020-03-24,Human
EPI_ISL_2757077,France/PAC-IHU-12869_Nova1/2021,2021-03-26,Human
EPI_ISL_5985771,USA/CA-CDPH-1002005616/2021,2021-08-21,Human
EPI_ISL_3032900,Turkey/HSGM-B4514/2021,2021-03-31,Human
EPI_ISL_1681003,USA/FL-CDC-LC0040405/2021,2021-04-07,Human
EPI_ISL_720751,England/MILK-BFDEA7/2020,2020-12-02,Human
EPI_ISL_471435,Belgium/ULG-10200/2020,2020-05-23,Human
EPI_ISL_683127,mink/Denmark/mDK-277/2020,2020-11-10,Mink
EPI_ISL_641469,mink/Denmark/mDK-77/2020,2020-09-24,Mink
EPI_ISL_5804716,deer/USA/IA-200069/2020,2020-12-05,Odocoileus virginianus
EPI_ISL_955514,USA/CA-CZB-17340/2020,2020-11-29,Human
EPI_ISL_751724,USA/KS-CDC-2-3713958/2020,2020-11-02,Human
EPI_ISL_1093861,USA/CA-UCSF-JD441/2021,2021-01-13,Human
EPI_ISL_1306625,USA/NY-PRL-2021_03_15_00J09/2021,2021-03-12,Human
EPI_ISL_2617858,USA/CA-LACPHL-AE00175/2020,2020-09-01,Human
EPI_ISL_3105734,USA/CA-CDPH-2000006152/2020,2020-12-09,Human
EPI_ISL_925327,mink/USA/MI-CDC-3886941-001/2020,2020-10-16,Mink
EPI_ISL_578794,USA/LA-EVTL388/2020,2020-06-04,Human
EPI_ISL_2834689,mink/USA/UT-20-028674-001/2020,2020-10-01,Mink
EPI_ISL_470831,Australia/WA13/2020,2020-04-03,Human
EPI_ISL_5461028,USA/CA-CDPH-2000001877/2020,2020-12-02,Human
EPI_ISL_2834702,mink/USA/WI-20-031493-003/2020,2020-10-28,Mink
EPI_ISL_7858275,USA/CA-CDPH-2000010976/2020,2020-12-13,Human
EPI_ISL_525686,USA/NY-Wadsworth-57118-01/2020,2020-04-20,Human
EPI_ISL_1539340,USA/CO-CDPHE-2100157489/2020,2020-12-27,Human
EPI_ISL_683222,mink/Denmark/mDK-473/2020,2020-10-22,Mink
EPI_ISL_2095693,USA/ID-UNM-IBL048/2020,2020-08-26,Human
EPI_ISL_8326450,USA/AZ-TG395944/2020,2020-06-08,Human
EPI_ISL_1571488,Germany/NW-RKI-I-066451/2021,2021-04-07,Human
EPI_ISL_1103559,Greece/A33/2020,2020,Human
EPI_ISL_4182651,USA/CA-CDC-FG-109808/2021,2021-08-31,Human
EPI_ISL_668459,Denmark/DCGC-10136/2020,2020-11-09,Human
EPI_ISL_683037,mink/Denmark/mDK-186/2020,2020-11-07,Mink
EPI_ISL_1095216,USA/RI-CDC-2-3877479/2021,2021-01-25,Human
EPI_ISL_2141683,mink/Latvia/2105/2021,2021-04-09,Mink
EPI_ISL_468402,USA/CA-CZB-1432/2020,2020-03-23,Human
EPI_ISL_3671339,USA/CA-CDPH-2000020632/2021,2021-01-04,Human
EPI_ISL_2204375,USA/TX-HMH-MCoV-35874/2020,2020-12-15,Human
EPI_ISL_1531193,USA/FL-BPHL-1909/2021,2021-03-22,Human
EPI_ISL_579110,NewZealand/20CV0368/2020,2020-09-23,Human
EPI_ISL_632467,mink/Netherlands/NB-EMC-59-6/2020,2020,Mink
EPI_ISL_593997,England/204221499/2020,2020,Human
EPI_ISL_1027659,USA/WI-MML-B05469281/2020,2020,Human
EPI_ISL_1516330,USA/MD-CDC-2-4084817/2020,2020-12-28,Human
EPI_ISL_1969816,Canada/QC-HPB-U01423739Q/2020,2020-12-14,Human
EPI_ISL_476885,India/MP-DRDE4078/2020,2020-05-17,Human
EPI_ISL_687768,Japan/PG-6656/2020,2020-07-09,Human
EPI_ISL_728969,Switzerland/AG-ETHZ-400003/2020,2020-12-09,Human
EPI_ISL_2521769,cat/Switzerland/ZH-UZH-USZ_10_Tier_2/2021,2021-01-20,Felis catus
EPI_ISL_6331974,France/PAC-IHU-38039-Nova1M/2020,2020-04,Human
EPI_ISL_914336,USA/AZ-TG375489/2020,2020-06-14,Human
EPI_ISL_517941,USA/FL-BPHL-1051/2020,2020-05-07,Human
EPI_ISL_1624905,USA/WV-WVU-WV064814/2021,2021-03-30,Human
EPI_ISL_6404441,USA/AR-UMGC-17030/2021,2021-09-08,Human
EPI_ISL_2757399,France/PAC-IHU-13301_Nova1/2020,2020-04-01,Human
EPI_ISL_2246348,USA/MI-MDHHS-SC26908/2020,2020-04-21,Human
EPI_ISL_2733652,England/BRIS-25CBC6/2020,2020,Human
EPI_ISL_569793,Russia/OMS-ORINFI-9295S/2020,2020-07-25,Human
EPI_ISL_979776,USA/CA-CZB-19182/2020,2020-12-08,Human
EPI_ISL_683182,mink/Denmark/mDK-422/2020,2020-10-27,Mink
EPI_ISL_622571,Denmark/DCGC-1870/2020,2020-07-13,Human
EPI_ISL_816683,England/TFCI-26F98E8/2020,2020,Human
EPI_ISL_710119,Ireland/WH-NVRL-20G47262/2020,2020-04-03,Human
EPI_ISL_683309,mink/Denmark/mDK-575/2020,2020-10-15,Mink
EPI_ISL_2252740,Canada/ON-PHL-21-16719/2021,2021-05,Human
EPI_ISL_1885102,Denmark/DCGC-76531/2020,2020-12-21,Human
EPI_ISL_826344,USA/MI-UM-10036878490/2020,2020-11-10,Human
EPI_ISL_1491743,USA/NY-CDC-ASC210015178/2021,2021-03-22,Human
EPI_ISL_438592,England/CAMB-81ED0/2020,2020-04-22,Human
EPI_ISL_4340912,USA/AZ-TG960577/2020,2020-09-09,Human
EPI_ISL_4468317,USA/AZ-TG1016044/2020,2020-10-27,Human
EPI_ISL_693030,USA/MA-MASPHL-00557/2020,2020-05-08,Human
EPI_ISL_1437882,Germany/BY-RKI-I-054313/2021,2021-03-18,Human
EPI_ISL_3009299,USA/AZ-TG960475/2021,2021-06-07,Human
EPI_ISL_5440499,USA/CO-CDPHE-2007011576/2020,2020-06-30,Human
EPI_ISL_428932,Poland/PL_P9/2020,2020-03-28,Human
EPI_ISL_2273919,USA/NY-NYGC-995-VTM1-OQCA246/2021,2021-01-27,Human
EPI_ISL_790270,USA/TX-HMH-MCoV-12254/2020,2020-09-23,Human
EPI_ISL_5384547,USA/TX-HMH-MCoV-49766/2020,2020-07-16,Human
EPI_ISL_1155405,Germany/HH-RKI-I-025231/2021,2021-02-03,Human
EPI_ISL_3080376,NorthernIreland/PHEC-N303N2D7/2021,2021,Human
EPI_ISL_485025,USA/LA-GBCL-26492442/2020,2020-04-28,Human
EPI_ISL_5439613,USA/CO-CDPHE-2004130084/2020,2020-04-12,Human
EPI_ISL_2403598,Turkey/HSGM-B2731/2021,2021-03-30,Human
EPI_ISL_984575,USA/CA-CDPH-UC1585/2020,2020-11-09,Human
EPI_ISL_1253301,USA/WI-UW-3829/2021,2021-02-25,Human
EPI_ISL_984591,USA/CA-CDPH-UC1638/2020,2020-12-22,Human
EPI_ISL_857138,USA/NY-NYCPHL-002307/2021,2021-01-08,Human
EPI_ISL_1015685,USA/NY-Wadsworth-21007125-01/2021,2021-01-05,Human
EPI_ISL_2844216,Sweden/1465520664/2021,2021-06-14,Human
EPI_ISL_5521454,USA/PA-BOL-M20162659/2020,2020-12-22,Human
EPI_ISL_708826,Thailand/Bangkok-GA03/2020,2020,Human
EPI_ISL_1241386,dog/USA/CT-CVMDL-1/2021,2021-02-12,Canis lupus familiaris
EPI_ISL_966161,Canada/ON-PHL-20-80377/2020,2020-03,Human
EPI_ISL_5761534,cat/USA/FL-21-024155-001/2021,2021-08-17,Felis catus
EPI_ISL_632436,mink/Netherlands/NB-EMC-62-4/2020,2020-10-05,Mink
EPI_ISL_5443410,USA/CA-CDPH-2000014389/2020,2020-12-14,Human
EPI_ISL_8499924,India/TG-RFCH03016_CIB8653/2021,2021-05-28,Human
EPI_ISL_3730873,Italy/TAA-APSS-Ph2_RUN2_NB24/2020,2020-03-31,Human
EPI_ISL_710223,USA/CO-CDPHE-2009053317/2020,2020-09-04,Human
EPI_ISL_8754034,CzechRepublic/KNL-010180158/2022,2022-01-06,Human
EPI_ISL_6566192,USA/FL-BPHL-15296/2021,2021-02-01,Human
EPI_ISL_978766,USA/IN-CDC-STM-000008159/2021,2021-01-07,Human
EPI_ISL_575069,USA/UT-UPHL-01645/2020,2020-04-07,Human
EPI_ISL_1824911,USA/CA-COLOR-UCSF-CC192/2021,2021-02-15,Human
EPI_ISL_729561,Germany/BE-ChVir4453/2020,2020,Human
EPI_ISL_2969497,USA/CA-CDPH-2000021370/2021,2021-01-03,Human
EPI_ISL_1014980,mink/USA/WI-CDC-3892585-001/2020,2020-10-13,Mink
EPI_ISL_683301,mink/Denmark/mDK-565/2020,2020-10-15,Mink
EPI_ISL_577749,mink/Netherlands/NB-EMC-27-3/2020,2020-08-08,Mink
EPI_ISL_683158,mink/Denmark/mDK-309/2020,2020-11-10,Mink
EPI_ISL_1503343,USA/TX-DSHS-4982/2020,2020-07-02,Human
EPI_ISL_577822,mink/Netherlands/NB-EMC-52-1/2020,2020-09-15,Mink
EPI_ISL_419680,Spain/VC-FISABIO-16/2020,2020-03-10,Human
EPI_ISL_521900,Australia/VIC1994/2020,2020-03-26,Human
