gisaid_epi_isl,strain,date,host
EPI_ISL_7584467,USA/CA-CDPH-2000015841/2020,2020-12-16,Human
EPI_ISL_3417149,Turkey/HSGM-FS7266/2021,2021-08-08,Human
EPI_ISL_760709,England/QEUH-CC338C/2020,2020-12-21,Human
EPI_ISL_1516420,USA/LA-CDC-2-4084848/2021,2021-01-04,Human
EPI_ISL_447660,France/IDF-10036BG/2020,2020-03,Human
EPI_ISL_528371,Switzerland/BS-UHB-42204170/2020,2020-03-23,Human
EPI_ISL_2035509,USA/MO-MSPHL-000898/2020,2020-07-31,Human
EPI_ISL_8327347,USA/AZ-TG974146/2020,2020-09-24,Human
EPI_ISL_431969,Wales/PHWC-27E72/2020,2020,Human
EPI_ISL_577820,mink/Netherlands/NB-EMC-51-13/2020,2020-09-12,Mink
EPI_ISL_1170329,Canada/ON-PHL-20-80129/2020,2020-03,Human
EPI_ISL_1609857,USA/NJ-CDC-LC0036699/2021,2021-03-23,Human
EPI_ISL_2325131,USA/AZ-ASPHL-79/2021,2021-04-11,Human
EPI_ISL_8692719,Chile/MA-CADIUMAG-01982/2021,2021-12-31,Human
EPI_ISL_1068450,USA/CA-RD551-CV0071/2021,2021-02-05,Human
EPI_ISL_1032660,USA/WY-WPHL-21005462/2021,2021-01-14,Human
EPI_ISL_6602500,USA/CO-CDPHE-2006191771/2020,2020-06-18,Human
EPI_ISL_788197,USA/TX-HMH-MCoV-13046/2020,2020-08-28,Human
EPI_ISL_2565083,Canada/SK-NML-44/2020,2020-03-15,Human
EPI_ISL_956049,USA/OH-PLMI-J49YP-5425/2020,2020-04,Human
EPI_ISL_1306891,USA/NY-PRL-2021_03_15_01H03/2021,2021-03-13,Human
EPI_ISL_1297718,USA/NV-CDC-QDX22632135/2021,2021-03-02,Human
EPI_ISL_422491,USA/NY-PV09115/2020,2020-03-19,Human
EPI_ISL_5797327,Kenya/SS2831/2020,2020-11-13,Human
EPI_ISL_1190944,Estonia/151344/2021,2021-02-11,Human
EPI_ISL_2504444,India/UT-NCDC-1209179/2021,2021-03-03,Human
EPI_ISL_516376,USA/MI-MDHHS-SC21649/2020,2020-03-30,Human
EPI_ISL_1463353,USA/NH-CDC-LC0031443/2021,2021-03-18,Human
EPI_ISL_2790816,France/IDF-IPP2689/2020,2020-03-17,Human
EPI_ISL_577776,mink/Netherlands/NB-EMC-35-5/2020,2020-08-18,Mink
EPI_ISL_2039519,USA/HI-CDC-ASC210029610/2021,2021-04-21,Human
EPI_ISL_8613581,USA/CA-CDPH-3000015886/2021,2021-02-10,Human
EPI_ISL_1494392,USA/IL-IDPH-PIK-S-0001741/2020,2020-08-11,Human
EPI_ISL_738913,USA/CA-CZB-14785/2020,2020-11-12,Human
EPI_ISL_1163775,USA/NC-UNC-LCCC0328/2021,2021-01-29,Human
EPI_ISL_888553,USA/PA-CDC-LC00002691/2021,2021-01-03,Human
EPI_ISL_2224060,USA/TX-HMH-MCoV-40876/2020,2020-07-22,Human
EPI_ISL_3032841,Turkey/HSGM-B18288/2021,2021-03-31,Human
EPI_ISL_811147,cat/Russia/RII-LEN-22246S/2021,2021-01-06,Felis catus
EPI_ISL_1235468,USA/CA-CZB-25817/2021,2021-02-03,Human
EPI_ISL_528367,Switzerland/BS-UHB-42203738/2020,2020-03-23,Human
EPI_ISL_3032916,Turkey/HSGM-B4543/2021,2021-03-31,Human
EPI_ISL_486228,USA/CA-CZB-1955/2020,2020-05-06,Human
EPI_ISL_3207500,SouthAfrica/NHLS-UCT-GP-6560/2021,2021,Human
EPI_ISL_432149,Wales/PHWC-27E63/2020,2020,Human
EPI_ISL_1463167,USA/PA-CDC-LC0031019/2021,2021-03-14,Human
EPI_ISL_1470842,USA/NY-PRL-2021_03_29_01K09/2021,2021-03-24,Human
EPI_ISL_5443428,USA/CA-CDPH-2000014408/2020,2020-12-14,Human
EPI_ISL_418895,USA/CT-UW328/2020,2020-03-14,Human
EPI_ISL_1134352,USA/FL-CDC-STM-000012860/2021,2021-02-11,Human
EPI_ISL_3332640,USA/CA-CDPH-2000017621/2021,2021-01-14,Human
EPI_ISL_2220037,USA/TX-HMH-MCoV-35163/2020,2020-08-11,Human
EPI_ISL_3653575,Turkey/HSGM-D21336/2021,2021-08-20,Human
